日期,無風險利率
2022-07-14,1.775
2022-07-15,1.775
2022-07-18,1.775
2022-07-19,1.775
2022-07-20,1.775
2022-07-21,1.775
2022-07-22,1.755
2022-07-25,1.745
2022-07-26,1.725
2022-07-27,1.725
2022-07-28,1.675
2022-07-29,1.645
2022-08-01,1.645
2022-08-02,1.645
2022-08-03,1.665
2022-08-04,1.645
2022-08-05,1.645
2022-08-08,1.645
2022-08-09,1.645
2022-08-10,1.645
2022-08-11,1.655
2022-08-12,1.635
2022-08-15,1.655
2022-08-16,1.645
2022-08-17,1.655
2022-08-18,1.655
2022-08-19,1.655
2022-08-22,1.645
2022-08-23,1.625
2022-08-24,1.615
2022-08-25,1.615
2022-08-26,1.615
2022-08-29,1.645
2022-08-30,1.625
2022-08-31,1.635
2022-09-01,1.645
2022-09-02,1.675
2022-09-05,1.645
2022-09-06,1.645
2022-09-07,1.645
2022-09-08,1.615
2022-09-09,1.615
2022-09-12,1.625
2022-09-13,1.645
2022-09-14,1.675
2022-09-15,1.675
2022-09-16,1.685
2022-09-19,1.695
2022-09-20,1.685
2022-09-21,1.685
2022-09-22,1.695
2022-09-23,1.695
2022-09-26,1.735
2022-09-27,1.815
2022-09-28,1.925
2022-09-29,1.925
2022-09-30,1.945
2022-10-03,1.935
2022-10-04,1.905
2022-10-05,1.915
2022-10-06,1.925
2022-10-07,1.955
2022-10-10,1.975
2022-10-11,1.985
2022-10-12,1.985
2022-10-13,1.985
2022-10-14,1.975
2022-10-17,1.995
2022-10-18,1.995
2022-10-19,1.995
2022-10-20,1.995
2022-10-21,1.985
2022-10-24,1.985
2022-10-25,2.175
2022-10-26,2.265
2022-10-27,2.275
2022-10-28,2.265
2022-10-31,2.265
2022-11-01,2.275
2022-11-02,2.275
2022-11-03,2.295
2022-11-04,2.295
2022-11-07,2.295
2022-11-08,2.35
2022-11-09,2.335
2022-11-10,2.345
2022-11-11,2.275
2022-11-14,2.305
2022-11-15,2.305
2022-11-16,2.295
2022-11-17,2.175
2022-11-18,2.15
2022-11-21,2.175
2022-11-22,2.14
2022-11-23,2.125
2022-11-24,2.095
2022-11-25,2.075
2022-11-28,2.035
2022-11-29,2.075
2022-11-30,2.025
2022-12-01,1.975
2022-12-02,1.925
2022-12-05,1.914
2022-12-06,1.925
2022-12-07,1.765
2022-12-08,1.755
2022-12-09,1.755
2022-12-12,1.775
2022-12-13,1.765
2022-12-14,1.775
2022-12-15,1.77
2022-12-16,1.575
2022-12-19,1.525
2022-12-20,1.575
2022-12-21,1.555
2022-12-22,1.525
2022-12-23,1.525
2022-12-26,1.525
2022-12-27,1.575
2022-12-28,1.555
2022-12-29,1.555
2022-12-30,1.555
2023-01-02,1.555
2023-01-03,1.535
2023-01-04,1.535
2023-01-05,1.535
2023-01-06,1.535
2023-01-09,1.525
2023-01-10,1.525
2023-01-11,1.525
2023-01-12,1.525
2023-01-13,1.495
2023-01-16,1.495
2023-01-17,1.475
2023-01-18,1.475
2023-01-19,1.475
2023-01-20,1.455
2023-01-23,1.455
2023-01-24,1.455
2023-01-25,1.455
2023-01-26,1.455
2023-01-27,1.455
2023-01-30,1.455
2023-01-31,1.455
2023-02-01,1.455
2023-02-02,1.445
2023-02-03,1.445
2023-02-06,1.465
2023-02-07,1.465
2023-02-08,1.485
2023-02-09,1.485
2023-02-10,1.495
2023-02-13,1.485
2023-02-14,1.485
2023-02-15,1.495
2023-02-16,1.505
2023-02-17,1.525
2023-02-20,1.525
2023-02-21,1.525
2023-02-22,1.545
2023-02-23,1.545
2023-02-24,1.545
2023-02-27,1.545
2023-02-28,1.545
2023-03-01,1.545
2023-03-02,1.555
2023-03-03,1.56
2023-03-06,1.545
2023-03-07,1.555
2023-03-08,1.545
2023-03-09,1.565
2023-03-10,1.565
2023-03-13,1.535
2023-03-14,1.535
2023-03-15,1.545
2023-03-16,1.525
2023-03-17,1.535
2023-03-20,1.535
2023-03-21,1.535
2023-03-22,1.535
2023-03-23,1.515
2023-03-24,1.505
2023-03-27,1.545
2023-03-28,1.545
2023-03-29,1.545
2023-03-30,1.545
2023-03-31,1.555
2023-04-03,1.555
2023-04-04,1.555
2023-04-05,1.555
2023-04-06,1.545
2023-04-07,1.545
2023-04-10,1.515
2023-04-11,1.515
2023-04-12,1.555
2023-04-13,1.545
2023-04-14,1.545
2023-04-17,1.545
2023-04-18,1.545
2023-04-19,1.56
2023-04-20,1.56
2023-04-21,1.555
2023-04-24,1.555
2023-04-25,1.555
2023-04-26,1.595
2023-04-27,1.585
2023-04-28,1.585
